id,ts,total_signals,tradeable,trades_placed,top_city,top_ev,recalibrated,meta
1,2026-03-30T18:33:45.395625+00:00,60,15,6,Mexico City,296.1,0,
2,2026-03-30T18:34:46.681959+00:00,60,15,0,Mexico City,296.1,0,
3,2026-03-30T18:35:47.971596+00:00,60,15,1,Mexico City,296.1,0,
4,2026-03-30T18:36:49.358665+00:00,60,15,0,Mexico City,296.1,0,
5,2026-03-30T18:37:50.540612+00:00,60,15,0,Mexico City,296.1,0,
6,2026-03-30T18:38:52.148533+00:00,60,15,0,Mexico City,296.1,0,
7,2026-03-30T18:39:53.302242+00:00,60,15,0,Mexico City,296.1,0,
8,2026-03-30T18:40:54.915518+00:00,60,15,0,Mexico City,296.1,0,
9,2026-03-30T18:41:56.125908+00:00,60,15,0,Mexico City,296.1,0,
10,2026-03-30T18:42:57.488450+00:00,60,15,0,Mexico City,296.1,0,
11,2026-03-30T18:43:59.258493+00:00,60,15,0,Mexico City,296.1,0,
12,2026-03-30T18:45:00.456567+00:00,60,15,0,Mexico City,296.1,0,
13,2026-03-30T18:46:01.643855+00:00,60,15,0,Mexico City,296.1,0,
14,2026-03-30T18:47:02.923621+00:00,60,15,1,Mexico City,296.1,0,
15,2026-03-30T18:48:03.990247+00:00,60,15,0,Mexico City,296.1,0,
16,2026-03-30T18:49:06.482668+00:00,60,15,0,Mexico City,296.1,0,
17,2026-03-30T18:50:08.345473+00:00,60,15,0,Mexico City,296.1,0,
18,2026-03-30T19:00:12.162065+00:00,60,15,0,Mexico City,296.1,0,
19,2026-03-30T19:01:21.835713+00:00,60,15,1,Mexico City,296.1,0,
20,2026-03-30T19:19:24.660903+00:00,60,15,0,Mexico City,296.1,0,
21,2026-03-30T19:20:25.941351+00:00,60,15,0,Mexico City,296.1,0,
22,2026-03-30T19:21:27.100875+00:00,60,15,0,Mexico City,296.1,0,
23,2026-03-30T20:27:04.006167+00:00,60,15,0,Mexico City,296.1,0,
24,2026-03-30T20:51:33.293508+00:00,60,15,0,Mexico City,296.1,0,
25,2026-03-30T21:10:34.308368+00:00,60,14,0,Mexico City,296.1,0,
26,2026-03-30T21:52:46.749985+00:00,60,15,0,Mexico City,322.2,0,
27,2026-03-30T22:10:19.020839+00:00,60,15,1,Mexico City,322.2,0,
28,2026-03-30T22:11:21.594998+00:00,60,15,1,Mexico City,322.2,0,
29,2026-03-30T22:53:31.297908+00:00,60,15,0,Mexico City,322.2,0,
30,2026-03-30T22:54:39.728858+00:00,60,15,0,Mexico City,322.2,0,
31,2026-03-31T00:10:51.853204+00:00,60,15,1,Mexico City,322.2,0,
32,2026-03-31T01:35:45.493066+00:00,60,15,0,Mexico City,322.2,0,
33,2026-03-31T01:54:30.066763+00:00,60,15,0,Mexico City,322.2,0,
34,2026-03-31T01:55:31.015510+00:00,60,15,0,Mexico City,322.2,0,
35,2026-03-31T02:48:09.136850+00:00,60,14,0,Mexico City,322.2,0,
36,2026-03-31T02:49:14.840814+00:00,60,14,0,Mexico City,322.2,0,
37,2026-03-31T03:25:12.573035+00:00,60,13,0,Mexico City,322.2,0,
38,2026-03-31T03:57:23.403276+00:00,60,15,1,Mexico City,576.2,0,
39,2026-03-31T03:58:24.505448+00:00,60,15,0,Mexico City,576.2,0,
