id,ts,total_signals,tradeable,trades_placed,top_city,top_ev,recalibrated,meta
1,2026-03-27T18:33:20.428594+00:00,60,3,8,Los Angeles,138.6,0,
2,2026-03-27T18:34:20.934184+00:00,60,3,5,Los Angeles,138.6,0,
3,2026-03-27T18:35:21.371033+00:00,60,3,5,Los Angeles,138.6,0,
4,2026-03-27T18:36:21.863335+00:00,60,3,0,Los Angeles,138.6,0,
5,2026-03-27T18:37:22.269873+00:00,60,3,0,Los Angeles,138.6,0,
6,2026-03-27T18:38:24.841343+00:00,60,4,0,Los Angeles,138.6,0,
7,2026-03-27T18:39:25.300984+00:00,60,4,0,Los Angeles,138.6,0,
8,2026-03-27T18:40:25.788364+00:00,60,4,0,Los Angeles,138.6,0,
9,2026-03-27T18:41:26.326077+00:00,60,4,0,Los Angeles,138.6,0,
10,2026-03-27T18:42:26.829604+00:00,60,4,0,Los Angeles,138.6,0,
11,2026-03-27T18:43:28.822022+00:00,60,4,0,Los Angeles,138.6,0,
12,2026-03-27T18:44:29.255278+00:00,60,4,0,Los Angeles,138.6,0,
13,2026-03-27T18:45:29.750054+00:00,60,4,0,Los Angeles,138.6,0,
14,2026-03-27T18:46:30.630113+00:00,60,4,0,Los Angeles,138.6,0,
15,2026-03-27T18:47:31.138982+00:00,60,4,0,Los Angeles,138.6,0,
16,2026-03-27T18:48:31.876366+00:00,60,4,0,Los Angeles,138.6,0,
17,2026-03-27T18:49:32.337726+00:00,60,4,0,Los Angeles,138.6,0,
18,2026-03-27T18:50:33.834793+00:00,60,4,0,Los Angeles,138.6,0,
19,2026-03-27T18:51:34.588415+00:00,60,4,0,Los Angeles,138.6,0,
20,2026-03-27T18:52:35.068438+00:00,60,4,0,Los Angeles,138.6,0,
21,2026-03-27T18:53:36.092170+00:00,60,4,0,Los Angeles,138.6,0,
22,2026-03-27T18:54:36.534763+00:00,60,4,0,Los Angeles,138.6,0,
23,2026-03-27T18:55:36.992307+00:00,60,4,0,Los Angeles,138.6,0,
24,2026-03-27T18:56:37.432182+00:00,60,4,0,Los Angeles,138.6,0,
25,2026-03-27T18:57:37.923097+00:00,60,4,0,Los Angeles,138.6,0,
26,2026-03-27T18:58:38.760918+00:00,60,4,0,Los Angeles,138.6,0,
27,2026-03-27T18:59:39.232294+00:00,60,4,0,Los Angeles,138.6,0,
28,2026-03-27T19:00:40.291010+00:00,60,4,0,Los Angeles,138.6,0,
29,2026-03-27T19:01:40.704213+00:00,60,4,0,Los Angeles,138.6,0,
30,2026-03-27T19:02:41.217812+00:00,60,4,0,Los Angeles,138.6,0,
31,2026-03-27T19:03:43.865441+00:00,60,3,4,Los Angeles,295.2,0,
32,2026-03-27T19:04:44.311905+00:00,60,3,0,Los Angeles,295.2,0,
33,2026-03-27T19:05:44.868155+00:00,60,3,0,Los Angeles,295.2,0,
34,2026-03-27T19:06:45.526822+00:00,60,3,0,Los Angeles,295.2,0,
35,2026-03-27T19:07:45.997717+00:00,60,3,0,Los Angeles,295.2,0,
36,2026-03-27T19:08:46.859372+00:00,60,3,0,Los Angeles,295.2,0,
37,2026-03-27T19:09:47.394967+00:00,60,3,0,Los Angeles,295.2,0,
38,2026-03-27T19:10:47.811748+00:00,60,3,0,Los Angeles,295.2,0,
39,2026-03-27T19:11:48.286797+00:00,60,3,0,Los Angeles,295.2,0,
40,2026-03-27T19:12:48.798467+00:00,60,3,0,Los Angeles,295.2,0,
41,2026-03-27T19:13:50.534306+00:00,60,3,0,Los Angeles,295.2,0,
42,2026-03-27T19:14:50.952017+00:00,60,3,0,Los Angeles,295.2,0,
43,2026-03-27T19:15:51.414445+00:00,60,3,0,Los Angeles,295.2,0,
44,2026-03-27T19:16:51.898646+00:00,60,3,0,Los Angeles,295.2,0,
45,2026-03-27T19:17:52.417015+00:00,60,3,0,Los Angeles,295.2,0,
46,2026-03-27T19:18:54.469046+00:00,60,3,0,Los Angeles,295.2,0,
47,2026-03-27T19:19:54.921503+00:00,60,3,0,Los Angeles,295.2,0,
48,2026-03-27T19:20:55.419157+00:00,60,3,0,Los Angeles,295.2,0,
49,2026-03-27T19:21:55.811830+00:00,60,3,0,Los Angeles,295.2,0,
50,2026-03-27T19:22:56.278479+00:00,60,3,0,Los Angeles,295.2,0,
51,2026-03-27T19:23:57.305941+00:00,60,3,0,Los Angeles,295.2,0,
52,2026-03-27T19:24:57.753327+00:00,60,3,0,Los Angeles,295.2,0,
53,2026-03-27T19:25:58.257320+00:00,60,3,0,Los Angeles,295.2,0,
54,2026-03-27T19:26:58.716137+00:00,60,3,0,Los Angeles,295.2,0,
55,2026-03-27T19:27:59.174075+00:00,60,3,0,Los Angeles,295.2,0,
56,2026-03-27T19:28:59.972012+00:00,60,3,0,Los Angeles,295.2,0,
57,2026-03-27T19:30:15.425041+00:00,60,3,2,Los Angeles,295.2,0,
58,2026-03-27T19:31:15.858066+00:00,60,3,0,Los Angeles,295.2,0,
59,2026-03-27T19:32:16.473891+00:00,60,3,0,Los Angeles,295.2,0,
60,2026-03-27T19:33:17.481851+00:00,60,3,0,Los Angeles,295.2,0,
61,2026-03-27T19:34:19.812667+00:00,60,3,0,Los Angeles,295.2,0,
62,2026-03-27T19:35:20.299767+00:00,60,3,0,Los Angeles,295.2,0,
63,2026-03-27T19:36:20.803811+00:00,60,3,0,Los Angeles,295.2,0,
64,2026-03-27T19:37:21.216933+00:00,60,3,0,Los Angeles,295.2,0,
65,2026-03-27T19:38:21.701169+00:00,60,3,0,Los Angeles,295.2,0,
66,2026-03-27T19:39:22.708990+00:00,60,3,0,Los Angeles,295.2,0,
67,2026-03-27T19:40:23.274860+00:00,60,3,0,Los Angeles,295.2,0,
68,2026-03-27T19:41:23.889796+00:00,60,3,0,Los Angeles,295.2,0,
69,2026-03-27T19:42:24.395985+00:00,60,3,0,Los Angeles,295.2,0,
70,2026-03-27T19:43:24.871825+00:00,60,3,0,Los Angeles,295.2,0,
71,2026-03-27T19:44:26.068601+00:00,60,3,0,Los Angeles,295.2,0,
72,2026-03-27T19:45:26.753169+00:00,60,3,0,Los Angeles,295.2,0,
73,2026-03-27T19:46:27.273183+00:00,60,3,0,Los Angeles,295.2,0,
74,2026-03-27T19:47:27.719378+00:00,60,3,0,Los Angeles,295.2,0,
75,2026-03-27T19:48:28.235985+00:00,60,3,0,Los Angeles,295.2,0,
