id,ts,station,city,date,forecast_temp_f,market_implied_f,resolved_temp_f,forecast_error_f,market_error_f,bin_question,bin_outcome,our_prob,market_price,meta
1,2026-03-31T09:04:37.631230+00:00,LTAC,Ankara,2026-01-22,42.6,,35.6,-7.0,,[bootstrap] Ankara high 2026-01-22,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 42.6}"
2,2026-03-31T09:04:37.634339+00:00,LTAC,Ankara,2026-01-23,45.0,,41.0,-4.0,,[bootstrap] Ankara high 2026-01-23,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 45.0}"
3,2026-03-31T09:04:37.636017+00:00,LTAC,Ankara,2026-01-24,49.3,,44.6,-4.699999999999996,,[bootstrap] Ankara high 2026-01-24,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 49.3}"
4,2026-03-31T09:04:37.637417+00:00,LTAC,Ankara,2026-01-25,51.7,,48.2,-3.5,,[bootstrap] Ankara high 2026-01-25,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 51.7}"
5,2026-03-31T09:04:37.638434+00:00,LTAC,Ankara,2026-01-26,53.0,,44.6,-8.399999999999999,,[bootstrap] Ankara high 2026-01-26,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 53.0}"
6,2026-03-31T09:04:37.639383+00:00,LTAC,Ankara,2026-01-27,53.1,,50.0,-3.1000000000000014,,[bootstrap] Ankara high 2026-01-27,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 53.1}"
7,2026-03-31T09:04:37.640258+00:00,LTAC,Ankara,2026-01-28,44.9,,44.6,-0.29999999999999716,,[bootstrap] Ankara high 2026-01-28,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 44.9}"
8,2026-03-31T09:04:37.641154+00:00,LTAC,Ankara,2026-01-29,51.2,,46.4,-4.800000000000004,,[bootstrap] Ankara high 2026-01-29,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 51.2}"
9,2026-03-31T09:04:37.642002+00:00,LTAC,Ankara,2026-01-30,51.8,,51.8,0.0,,[bootstrap] Ankara high 2026-01-30,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 51.8}"
10,2026-03-31T09:04:37.642858+00:00,LTAC,Ankara,2026-01-31,48.5,,46.4,-2.1000000000000014,,[bootstrap] Ankara high 2026-01-31,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 48.5}"
11,2026-03-31T09:04:37.643751+00:00,LTAC,Ankara,2026-02-01,55.7,,53.6,-2.1000000000000014,,[bootstrap] Ankara high 2026-02-01,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 55.7}"
12,2026-03-31T09:04:37.644713+00:00,LTAC,Ankara,2026-02-02,52.0,,46.4,-5.600000000000001,,[bootstrap] Ankara high 2026-02-02,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 52.0}"
13,2026-03-31T09:04:37.645678+00:00,LTAC,Ankara,2026-02-03,41.6,,42.8,1.1999999999999957,,[bootstrap] Ankara high 2026-02-03,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 41.6}"
14,2026-03-31T09:04:37.646842+00:00,LTAC,Ankara,2026-02-04,46.2,,44.6,-1.6000000000000014,,[bootstrap] Ankara high 2026-02-04,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 46.2}"
15,2026-03-31T09:04:37.647917+00:00,LTAC,Ankara,2026-02-05,52.2,,46.4,-5.800000000000004,,[bootstrap] Ankara high 2026-02-05,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 52.2}"
16,2026-03-31T09:04:37.649193+00:00,LTAC,Ankara,2026-02-06,48.3,,46.4,-1.8999999999999986,,[bootstrap] Ankara high 2026-02-06,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 48.3}"
17,2026-03-31T09:04:37.650493+00:00,LTAC,Ankara,2026-02-07,53.1,,50.0,-3.1000000000000014,,[bootstrap] Ankara high 2026-02-07,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 53.1}"
18,2026-03-31T09:04:37.651858+00:00,LTAC,Ankara,2026-02-08,51.7,,50.0,-1.7000000000000028,,[bootstrap] Ankara high 2026-02-08,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 51.7}"
19,2026-03-31T09:04:37.652999+00:00,LTAC,Ankara,2026-02-09,48.4,,48.2,-0.19999999999999574,,[bootstrap] Ankara high 2026-02-09,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 48.4}"
20,2026-03-31T09:04:37.654109+00:00,LTAC,Ankara,2026-02-10,46.3,,42.8,-3.5,,[bootstrap] Ankara high 2026-02-10,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 46.3}"
21,2026-03-31T09:04:37.655288+00:00,LTAC,Ankara,2026-02-11,46.0,,44.6,-1.3999999999999986,,[bootstrap] Ankara high 2026-02-11,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 46.0}"
22,2026-03-31T09:04:37.656263+00:00,LTAC,Ankara,2026-02-12,48.0,,50.0,2.0,,[bootstrap] Ankara high 2026-02-12,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 48.0}"
23,2026-03-31T09:04:37.657379+00:00,LTAC,Ankara,2026-02-13,51.4,,51.8,0.3999999999999986,,[bootstrap] Ankara high 2026-02-13,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 51.4}"
24,2026-03-31T09:04:37.658513+00:00,LTAC,Ankara,2026-02-14,50.2,,51.8,1.5999999999999943,,[bootstrap] Ankara high 2026-02-14,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 50.2}"
25,2026-03-31T09:04:37.659588+00:00,LTAC,Ankara,2026-02-15,59.6,,57.2,-2.3999999999999986,,[bootstrap] Ankara high 2026-02-15,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 59.6}"
26,2026-03-31T09:04:37.660814+00:00,LTAC,Ankara,2026-02-16,62.1,,59.0,-3.1000000000000014,,[bootstrap] Ankara high 2026-02-16,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 62.1}"
27,2026-03-31T09:04:37.662063+00:00,LTAC,Ankara,2026-02-17,56.3,,55.4,-0.8999999999999986,,[bootstrap] Ankara high 2026-02-17,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 56.3}"
28,2026-03-31T09:04:37.663271+00:00,LTAC,Ankara,2026-02-18,48.6,,48.2,-0.3999999999999986,,[bootstrap] Ankara high 2026-02-18,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 48.6}"
29,2026-03-31T09:04:37.664436+00:00,LTAC,Ankara,2026-02-19,41.7,,41.0,-0.7000000000000028,,[bootstrap] Ankara high 2026-02-19,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 41.7}"
30,2026-03-31T09:04:37.665540+00:00,LTAC,Ankara,2026-02-20,52.2,,51.8,-0.4000000000000057,,[bootstrap] Ankara high 2026-02-20,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 52.2}"
31,2026-03-31T09:04:37.666595+00:00,LTAC,Ankara,2026-02-21,54.8,,55.4,0.6000000000000014,,[bootstrap] Ankara high 2026-02-21,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 54.8}"
32,2026-03-31T09:04:37.667615+00:00,LTAC,Ankara,2026-02-22,45.4,,44.6,-0.7999999999999972,,[bootstrap] Ankara high 2026-02-22,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 45.4}"
33,2026-03-31T09:04:37.668849+00:00,LTAC,Ankara,2026-02-23,43.3,,44.6,1.3000000000000043,,[bootstrap] Ankara high 2026-02-23,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 43.3}"
34,2026-03-31T09:04:37.670173+00:00,LTAC,Ankara,2026-02-24,45.8,,46.4,0.6000000000000014,,[bootstrap] Ankara high 2026-02-24,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 45.8}"
35,2026-03-31T09:04:37.671380+00:00,LTAC,Ankara,2026-02-25,42.1,,42.8,0.6999999999999957,,[bootstrap] Ankara high 2026-02-25,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 42.1}"
36,2026-03-31T09:04:37.672451+00:00,LTAC,Ankara,2026-02-26,39.8,,41.0,1.2000000000000028,,[bootstrap] Ankara high 2026-02-26,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 39.8}"
37,2026-03-31T09:04:37.673567+00:00,LTAC,Ankara,2026-02-27,39.4,,41.0,1.6000000000000014,,[bootstrap] Ankara high 2026-02-27,HISTORICAL,0.0,0.0,"{""source"": ""bootstrap"", ""om_temp_f"": 39.4}"
