id,ts,question,city,signal,token_id,price,size,spend,ev,ev_dollar,kelly,our_prob,mkt_price,sigma,mode,clob_spread,clob_edge_at_fill,resolved,resolution_price,pnl,won,resolved_at,meta
1,2026-03-30T18:33:43.821367+00:00,Will the highest temperature in Beijing be 17°C on April 1?,Beijing,BUY YES,95025854816412671107394115915334044541532236759376979719922228015852385308432,0.23,40.0,9.200000000000001,20.8,94.5,26.7,42.8,22.0,,PAPER,9.1,85.1,,,,,,{}
2,2026-03-30T18:33:44.272717+00:00,Will the highest temperature in Ankara be 15°C on April 1?,Ankara,BUY YES,22058598566260020587403511924913473033235081953345188849115009245725359607754,0.25,36.0,9.0,8.8,35.9,11.7,33.3,24.5,,PAPER,4.1,31.8,,,,,,{}
3,2026-03-30T18:33:44.273983+00:00,Will the highest temperature in Tel Aviv be 21°C or below on April 1?,Tel Aviv,SNIPE_YES,62887898708012486125033488839653668727178178102403534151595847414914278811138,0.013000000000000001,15.0,0.195,98.6,14.79,0.0,99.9,1.3,,PAPER,,,,,,,,{}
4,2026-03-30T18:33:44.349820+00:00,Will the highest temperature in Paris be 12°C on April 1?,Paris,SNIPE_YES,66399595815464493254342930136021449752418494058940505699426824917855015057965,0.255,15.0,3.825,35.5,5.33,0.0,61.0,25.5,,PAPER,,,,,,,,{}
5,2026-03-30T18:33:44.350794+00:00,Will the highest temperature in Buenos Aires be 27°C on April 2?,Buenos Aires,SNIPE_YES,42483631507385554733066804358427039256671052191027994690033160718987791315693,0.22,15.0,3.3,32.0,4.8,0.0,54.0,22.0,,PAPER,,,,,,,,{}
6,2026-03-30T18:33:44.424992+00:00,Will the highest temperature in Miami be between 76-77°F on April 1?,Miami,SNIPE_YES,97023673603434000534901854983564128695331147524815608002406374461629945386948,0.067,15.0,1.0050000000000001,27.1,4.06,0.0,33.8,6.7,,PAPER,,,,,,,,{}
7,2026-03-30T18:35:47.412494+00:00,Will the highest temperature in Beijing be 15°C on April 1?,Beijing,BUY YES,113970099525216641347546346217130650049432510164485039265953559762873615565112,0.07,129.0,9.030000000000001,15.8,272.4,16.8,21.6,5.8,,PAPER,3.4,201.1,,,,,,{}
8,2026-03-30T18:47:02.409920+00:00,Will the highest temperature in Seoul be 10°C on April 1?,Seoul,BUY YES,114387260672694166882132030133829719167979579769090561258957657991573403136620,0.09,150.0,13.5,15.4,285.2,16.3,20.8,5.4,,PAPER,38.1,143.1,,,,,,{}
9,2026-03-30T19:01:21.425638+00:00,Will the highest temperature in Seoul be 11°C on April 1?,Seoul,BUY YES,97862812544425495183053171154223577257097914777049385811958587276614914652835,0.11,82.0,9.02,21.0,190.9,23.6,32.0,11.0,,PAPER,11.8,185.7,,,,,,{}
10,2026-03-30T21:07:11.834676+00:00,EXIT: Beijing | OBS_PASSED: obs=44.6F > bin_hi=1F and cooling,Beijing,EXIT_SELL_ALL,95025854816412671107394115915334044541532236759376979719922228015852385308432,0.25,40.0,10.0,0.0,0.0,0.0,0.0,25.0,,PAPER,,,,,,,,{}
11,2026-03-30T21:07:11.839939+00:00,EXIT: Tel Aviv | OBS_PASSED: obs=57.2F > bin_hi=1F and cooling,Tel Aviv,EXIT_SELL_ALL,62887898708012486125033488839653668727178178102403534151595847414914278811138,0.01,15.0,0.15,0.0,0.0,0.0,0.0,1.0,,PAPER,,,,,,,,{}
12,2026-03-30T21:07:11.840465+00:00,EXIT: Paris | OBS_PASSED: obs=46.4F > bin_hi=1F and cooling,Paris,EXIT_SELL_ALL,66399595815464493254342930136021449752418494058940505699426824917855015057965,0.31,15.0,4.65,0.0,0.0,0.0,0.0,31.0,,PAPER,,,,,,,,{}
13,2026-03-30T21:07:11.840888+00:00,EXIT: Buenos Aires | OBS_PASSED: obs=84.2F > bin_hi=1F and cooling,Buenos Aires,EXIT_SELL_ALL,42483631507385554733066804358427039256671052191027994690033160718987791315693,0.21,15.0,3.15,0.0,0.0,0.0,0.0,21.0,,PAPER,,,,,,,,{}
14,2026-03-30T21:07:11.841315+00:00,EXIT: Miami | OBS_PASSED: obs=75.9F > bin_hi=1F and cooling,Miami,EXIT_SELL_ALL,97023673603434000534901854983564128695331147524815608002406374461629945386948,0.051,15.0,0.7649999999999999,0.0,0.0,0.0,0.0,5.1,,PAPER,,,,,,,,{}
15,2026-03-30T21:07:11.841724+00:00,EXIT: Beijing | OBS_PASSED: obs=44.6F > bin_hi=1F and cooling,Beijing,EXIT_SELL_ALL,113970099525216641347546346217130650049432510164485039265953559762873615565112,0.06,129.0,7.739999999999999,0.0,0.0,0.0,0.0,6.0,,PAPER,,,,,,,,{}
16,2026-03-30T21:07:11.842129+00:00,EXIT: Seoul | OBS_PASSED: obs=51.8F > bin_hi=1F and cooling,Seoul,EXIT_SELL_ALL,114387260672694166882132030133829719167979579769090561258957657991573403136620,0.065,150.0,9.75,0.0,0.0,0.0,0.0,6.5,,PAPER,,,,,,,,{}
17,2026-03-30T21:07:11.842650+00:00,EXIT: Seoul | OBS_PASSED: obs=51.8F > bin_hi=1F and cooling,Seoul,EXIT_SELL_ALL,97862812544425495183053171154223577257097914777049385811958587276614914652835,0.07,82.0,5.74,0.0,0.0,0.0,0.0,7.0,,PAPER,,,,,,,,{}
18,2026-03-30T22:10:17.919768+00:00,Will the highest temperature in Madrid be 17°C on April 1?,Madrid,BUY YES,52310834963700061356254122406952851743635938838552723521752676817642789794554,0.08,197.0,15.76,17.3,237.0,18.7,24.6,7.3,,PAPER,28.6,206.5,,,,,,{}
